day,0,1,2,3,4,5,6
20100112,0,3,2,2,0,7,0
20100113,9,10,10,4,14,7,12
20100114,5,5,3,4,3,6,0
20100115,0,4,2,3,0,5,0
20100119,8,9,8,4,12,9,4
20100120,6,6,3,6,5,4,0
20100121,0,4,2,3,0,5,0
20100122,2,2,2,3,4,3,0
20100125,5,5,9,6,6,5,6
20100126,0,12,3,9,9,0,3
20100127,15,4,12,14,12,4,15
20100128,3,0,9,9,3,12,0
20100129,6,5,6,6,9,5,5
20100201,0,3,6,3,2,2,2
20100202,0,10,0,3,6,3,6
20100203,0,0,0,12,0,6,6
20100204,0,0,14,0,6,8,0
20100205,6,6,6,6,4,8,8
20100208,0,8,4,0,4,6,4
20100209,8,8,0,6,6,6,6
20100210,0,0,5,0,2,3,0
20100211,4,9,4,10,4,10,9
20100212,0,4,6,0,7,3,4
20100216,4,11,0,11,4,6,6
20100217,0,0,5,0,2,3,0
20100218,6,6,6,6,4,8,8
20100219,0,6,3,0,3,6,0
20100222,4,4,6,4,6,4,4
20100223,0,6,3,0,3,6,0
20100224,8,8,4,6,6,6,6
20100225,0,4,3,0,10,0,3
20100226,4,4,0,16,0,4,4
20100301,4,0,16,0,4,4,4
20100302,0,10,0,3,3,4,0
20100303,0,6,4,4,0,7,7
20100304,12,12,12,0,12,12,12
20100305,12,12,0,6,6,6,6
20100308,0,0,0,0,0,0,0
20100309,6,6,6,6,0,12,12
20100310,6,6,6,0,6,12,0
20100311,3,3,3,3,4,4,0
20100312,0,4,2,4,6,2,2
20100315,2,2,6,4,2,4,0
20100316,0,4,4,3,3,3,3
20100317,0,8,4,0,4,6,4
20100318,8,8,0,6,6,6,6
20100319,0,0,5,0,2,3,0
20100322,4,8,9,8,4,9,12
20100323,10,12,10,4,12,12,0
20100324,12,10,4,12,12,0,10
20100325,5,3,4,4,0,8,0
20100326,4,4,4,6,12,3,3
20100329,3,3,8,6,3,4,3
20100330,0,12,0,7,6,6,3
20100331,6,0,7,3,4,4,0
20100401,6,6,6,6,4,8,8
20100405,0,12,6,0,6,6,6
20100406,8,8,0,6,6,6,6
20100407,0,0,8,8,0,8,8
20100408,0,10,10,0,8,12,0
20100409,4,4,6,4,6,4,4
20100412,0,6,3,0,3,6,0
20100413,3,3,3,3,4,4,0
20100414,0,9,5,3,8,6,3
20100415,12,10,4,12,10,4,6
20100416,0,3,0,6,0,3,0
20100419,6,6,6,6,4,8,8
20100420,6,3,6,3,4,8,0
20100421,0,8,3,4,3,5,3
20100422,11,4,6,4,11,4,4
20100423,4,6,4,11,4,4,11
20100426,4,3,5,3,3,8,0
20100427,2,2,2,4,4,2,0
20100428,0,1,2,3,2,1,1
20100429,0,6,8,3,4,4,3
20100430,0,8,0,4,4,0,0
20100503,6,6,6,6,0,8,8
20100504,6,6,6,0,6,12,0
20100505,4,4,6,4,6,4,4
20100506,0,6,3,0,3,6,0
20100507,3,3,3,3,4,4,0
20100510,0,9,6,3,10,8,0
20100511,9,9,4,18,13,0,9
20100512,12,4,18,14,0,12,4
20100513,3,6,9,0,8,4,0
20100514,4,4,3,4,3,6,0
20100517,0,8,4,3,6,3,6
20100518,8,8,4,6,6,6,6
20100519,0,3,0,6,0,3,0
20100520,4,3,5,3,3,8,0
20100521,8,3,8,6,8,3,8
20100524,0,12,3,6,6,6,3
20100525,6,3,3,7,3,4,0
20100526,6,9,7,9,4,9,12
20100527,12,7,14,4,10,10,9
20100528,0,8,0,4,4,3,5
20100601,0,0,8,8,0,8,8
20100602,0,12,12,4,10,12,10
20100603,3,3,3,3,4,4,0
20100604,0,2,1,2,3,2,0
20100607,1,1,4,4,4,1,1
20100608,0,3,6,3,2,2,2
20100609,0,7,0,2,2,3,0
20100610,0,4,3,3,0,10,0
20100611,4,4,4,0,16,0,4
20100614,4,4,8,12,8,4,16
20100615,4,8,12,8,4,16,4
20100616,8,12,8,4,16,4,4
20100617,0,8,0,12,6,0,10
20100618,6,0,12,9,0,15,0
20100621,3,4,4,3,8,6,0
20100622,1,1,4,4,4,1,1
20100623,0,2,3,2,1,2,0
20100624,0,4,4,3,3,3,3
20100625,0,8,4,0,4,6,4
20100628,10,10,0,8,6,8,6
20100629,0,0,4,0,4,0,0
20100630,6,8,6,8,0,10,10
20100701,7,12,7,0,8,8,8
20100702,12,12,0,6,6,6,6
20100706,0,0,0,0,0,0,0
20100707,0,0,0,0,0,0,0
20100708,0,0,0,0,0,0,0
20100709,6,6,6,6,0,12,12
20100712,6,6,6,0,6,12,0
20100713,3,3,3,3,4,4,0
20100714,0,8,4,3,6,3,6
20100715,8,8,4,6,6,6,6
20100716,0,4,0,9,6,3,8
20100719,3,0,9,9,3,12,0
20100720,4,10,12,6,12,10,4
20100721,0,12,3,9,9,0,3
20100722,15,4,12,15,0,4,4
20100723,3,0,10,0,3,4,0
20100726,3,5,3,4,3,8,0
20100727,0,8,4,3,6,3,6
20100728,5,5,3,4,3,6,0
20100729,0,6,4,4,0,5,5
20100730,7,12,7,0,8,8,8
20100802,12,12,0,6,6,6,6
20100803,0,0,3,3,3,0,9
20100804,0,8,15,15,0,20,18
20100805,3,8,8,0,7,12,0
20100806,3,3,3,3,4,4,0
20100809,0,8,4,3,6,3,6
20100810,5,5,3,4,3,6,0
20100811,0,4,2,3,0,5,0
20100812,3,4,3,6,8,3,3
20100813,3,3,8,6,3,4,3
20100816,0,8,0,5,3,4,4
20100817,11,0,11,4,6,6,4
20100818,0,12,0,9,9,4,14
20100819,0,0,4,4,0,8,0
20100820,6,6,6,6,12,6,6
20100823,2,2,6,4,2,4,0
20100824,0,3,2,2,2,3,0
20100825,0,8,4,3,6,3,6
20100826,5,5,3,4,3,6,0
20100827,0,6,3,7,0,7,3
20100830,6,4,11,0,11,4,6
20100831,4,9,0,10,9,6,10
20100901,0,0,10,6,6,10,0
20100902,0,12,9,9,12,0,10
20100903,10,6,9,10,0,9,4
20100907,4,3,7,0,6,4,0
20100908,6,5,6,5,4,6,6
20100909,0,6,3,0,3,6,0
20100910,4,4,6,4,6,4,4
20100913,0,12,6,0,6,6,6
20100914,7,7,0,4,4,6,0
20100915,0,4,6,6,0,8,8
20100916,8,15,18,0,18,15,8
20100917,8,8,0,6,6,4,0
20100920,0,4,6,6,0,8,8
20100921,3,8,8,0,7,12,0
20100922,4,4,6,4,6,4,4
20100923,0,6,3,0,3,6,0
20100924,6,6,4,5,6,5,6
20100927,0,3,4,0,4,3,0
20100928,4,4,3,4,3,6,0
20100929,0,4,2,4,6,2,2
20100930,2,2,6,4,2,4,0
20101001,0,4,4,3,3,3,3
20101004,0,6,3,0,3,6,0
20101005,12,9,4,8,9,8,4
20101006,0,3,2,0,5,0,0
20101007,4,4,3,5,0,8,0
20101008,5,8,5,4,8,4,8
20101011,5,5,3,4,3,6,0
20101012,0,6,6,6,0,6,6
20101013,4,8,6,0,5,9,0
20101014,4,4,6,4,6,4,4
20101015,0,12,8,0,10,10,0
20101018,8,8,0,8,8,0,0
20101019,5,3,4,4,0,8,0
20101020,4,4,4,6,12,3,3
20101021,3,3,8,6,3,4,3
20101022,0,6,0,4,4,4,4
20101025,0,0,8,6,3,8,3
20101026,0,10,9,6,10,4,9
20101027,0,6,6,6,0,6,6
20101028,4,8,6,0,5,9,0
20101029,3,3,3,3,4,4,0
20101101,0,8,4,3,6,3,6
20101102,16,16,8,12,16,12,0
20101103,18,8,8,18,15,0,15
20101104,12,0,21,21,0,18,12
20101105,0,6,12,0,10,8,0
20101108,6,5,6,5,4,6,6
20101109,0,6,3,0,3,6,0
20101110,4,4,6,4,6,4,4
20101111,0,6,3,0,3,6,0
20101112,3,3,3,3,4,4,0
20101115,0,4,2,4,6,2,2
20101116,2,2,6,4,2,4,0
20101117,0,6,3,4,3,4,4
20101118,0,8,10,0,12,6,0
20101119,6,10,0,10,6,0,0
20101122,10,4,12,12,0,10,12
20101123,3,8,8,0,7,12,0
20101124,4,4,6,4,6,4,4
20101126,0,6,3,0,3,6,0
20101129,6,6,4,5,6,5,6
20101130,0,3,4,0,4,3,0
20101201,6,5,6,5,4,6,6
20101202,0,8,4,0,4,6,4
20101203,5,5,0,4,4,6,0
20101206,0,4,5,6,3,6,6
20101207,3,6,8,3,5,9,0
20101208,0,4,4,3,3,3,3
20101209,0,6,3,0,3,6,0
20101210,4,4,6,4,6,4,4
20101213,0,12,6,0,6,6,6
20101214,7,7,0,4,4,6,0
20101215,0,6,4,4,0,7,7
20101216,12,12,12,0,12,12,12
20101217,7,7,0,4,4,6,0
20101220,0,4,6,6,0,8,8
20101221,8,15,15,0,20,18,0
20101222,12,10,4,12,12,0,10
20101223,5,3,4,4,0,8,0
20101227,4,4,4,6,12,3,3
20101228,3,3,8,6,3,4,3
20101229,0,5,0,3,2,4,0
20101230,0,3,2,2,2,5,0
20101231,4,2,4,6,8,2,2
20110103,0,14,8,6,8,8,0
20110104,16,12,8,16,16,0,12
20110105,12,0,18,18,0,12,12
20110106,0,10,10,0,8,12,0
20110107,4,4,6,4,6,4,4
20110110,0,12,8,0,10,10,0
20110111,8,8,0,8,8,0,0
20110112,6,6,6,6,0,8,8
20110113,8,8,8,0,7,12,7
20110114,8,8,0,6,6,6,6
20110118,0,0,5,0,2,3,0
20110119,6,6,6,6,4,8,8
20110120,0,6,3,0,3,6,0
20110121,4,4,6,4,6,4,4
20110124,0,12,8,0,10,10,0
20110125,15,15,0,18,20,0,8
20110126,15,0,15,18,8,8,18
20110127,0,6,10,6,6,16,0
20110128,2,2,2,4,4,2,0
20110131,0,1,2,3,2,1,1
20110201,0,6,8,3,4,4,3
20110202,0,8,0,4,4,0,0
20110203,5,3,4,4,0,8,0
20110204,8,8,8,4,12,4,12
20110207,9,9,8,6,8,6,6
20110208,0,8,0,12,6,0,10
20110209,8,0,18,15,8,15,18
20110210,0,8,8,6,8,14,0
20110211,1,1,4,4,4,1,1
20110214,0,3,6,3,2,2,2
20110215,0,8,0,4,4,3,5
20110216,0,0,8,8,0,8,8
20110217,0,10,10,0,8,12,0
20110218,3,3,3,3,4,4,0
20110222,0,2,1,2,3,2,0
20110223,2,2,8,6,4,2,4
20110224,0,12,3,6,6,6,3
20110225,16,4,8,12,8,4,4
20110228,4,0,14,0,12,4,12
20110301,0,8,0,8,3,9,0
20110302,0,6,3,4,3,5,5
20110303,12,4,12,4,8,8,8
20110304,0,7,0,2,2,3,0
20110307,0,3,2,2,0,7,0
20110308,4,4,4,6,12,3,3
20110309,2,2,6,4,2,4,0
20110310,0,3,2,2,2,3,0
20110311,0,9,5,3,8,6,3
20110314,12,10,4,12,10,4,6
20110315,0,3,0,6,0,3,0
20110316,4,3,5,3,3,8,0
20110317,8,3,8,6,8,3,8
20110318,0,8,3,3,5,3,4
20110321,0,4,0,10,0,3,3
20110322,4,0,13,8,9,4,16
20110323,0,7,6,6,3,12,0
20110324,0,4,2,4,6,2,2
20110325,14,7,12,9,10,10,4
20110328,0,8,0,4,4,0,0
20110329,6,6,6,6,0,8,8
20110330,6,6,6,0,6,12,0
20110331,4,4,6,4,6,4,4
20110401,0,6,3,0,3,6,0
20110404,4,4,6,4,6,4,4
20110405,0,12,6,0,6,6,6
20110406,12,12,0,6,6,6,6
20110407,0,0,0,0,0,0,0
20110408,0,0,0,0,0,0,0
20110411,3,3,3,3,0,12,0
20110412,8,8,8,4,12,4,12
20110413,9,9,8,6,8,6,6
20110414,0,6,0,6,0,0,0
20110415,6,3,6,3,0,10,0
20110418,8,8,8,4,12,4,12
20110419,9,9,8,6,8,6,6
20110420,0,8,0,12,6,0,10
20110421,12,0,21,12,0,21,0
20110425,0,6,6,0,12,0,0
20110426,4,4,3,5,0,8,0
20110427,3,4,3,6,8,3,3
20110428,2,2,6,4,2,4,0
20110429,0,8,3,4,3,5,3
20110502,0,3,2,0,5,0,0
20110503,6,6,6,6,0,8,8
20110504,5,8,5,0,5,8,5
20110505,5,5,0,4,4,6,0
20110506,0,6,3,4,3,5,5
20110509,12,4,12,4,8,8,8
20110510,0,12,0,3,3,3,3
20110511,0,0,0,0,0,0,0
20110512,6,6,6,6,0,12,12
20110513,6,6,6,0,6,12,0
20110516,3,3,3,3,4,4,0
20110517,0,8,4,3,6,3,6
20110518,9,9,8,6,8,6,6
20110519,0,8,0,12,6,0,10
20110520,6,0,12,9,0,15,0
20110523,6,6,6,6,12,6,6
20110524,3,3,8,6,3,4,3
20110525,0,10,0,6,3,6,3
20110526,0,0,4,0,4,0,0
20110527,4,10,9,10,0,11,14
20110531,10,12,10,0,12,12,4
20110601,8,8,0,6,6,4,0
20110602,0,6,4,4,0,7,7
20110603,6,6,6,0,6,12,0
20110606,3,3,3,3,4,4,0
20110607,0,2,1,2,3,2,0
20110608,2,2,8,6,4,2,4
20110609,0,8,3,3,5,3,4
20110610,0,3,0,6,0,3,0
20110613,6,9,7,9,4,9,12
20110614,12,8,12,4,12,12,4
20110615,0,8,0,4,4,0,0
20110616,6,6,6,6,0,8,8
20110617,6,6,6,0,6,12,0
20110620,3,3,3,3,4,4,0
20110621,0,9,6,3,10,8,0
20110622,6,6,3,8,7,0,0
20110623,10,6,9,10,0,9,4
20110624,4,3,7,0,6,4,0
20110627,6,5,6,5,4,6,6
20110628,0,8,4,0,4,6,4
20110629,5,5,0,4,4,6,0
20110630,0,6,3,4,3,5,5
20110701,12,7,14,4,10,10,9
20110705,0,16,0,6,10,6,6
20110706,8,0,3,10,3,8,0
20110707,4,9,12,9,8,10,16
20110708,6,3,6,3,4,8,0
20110711,0,3,2,2,2,3,0
20110712,0,4,2,4,6,2,2
20110713,3,3,12,6,4,4,4
20110714,0,8,0,4,4,3,5
20110715,0,0,6,10,0,10,6
20110718,0,12,21,0,21,12,0
20110719,6,10,0,10,6,0,0
20110720,10,4,12,12,0,10,12
20110721,3,8,8,0,7,12,0
20110722,4,4,6,4,6,4,4
20110725,0,8,4,0,4,6,4
20110726,6,6,0,5,6,6,5
20110727,0,0,4,4,2,6,0
20110728,6,5,6,6,9,5,5
20110729,0,3,4,3,2,2,2
20110801,0,10,0,6,3,6,3
20110802,0,0,4,0,4,0,0
20110803,6,8,6,8,0,10,10
20110804,4,6,4,0,4,8,0
20110805,4,4,6,4,6,4,4
20110808,0,6,3,0,3,6,0
20110809,8,8,4,6,6,6,6
20110810,0,3,2,0,5,0,0
20110811,6,6,12,10,0,10,12
20110812,6,12,10,0,10,12,6
20110815,12,10,0,10,12,6,6
20110816,0,0,5,0,2,3,0
20110817,6,6,6,6,4,8,8
20110818,0,6,3,0,3,6,0
20110819,4,4,6,4,6,4,4
20110822,0,12,6,0,6,6,6
20110823,12,12,0,6,6,6,6
20110824,0,0,0,6,6,0,12
20110825,0,0,9,9,0,18,0
20110826,4,12,12,4,12,8,12
20110829,8,8,4,6,6,6,6
20110830,0,3,0,6,0,3,0
20110831,4,3,5,3,3,8,0
20110901,4,2,4,6,8,2,2
20110902,0,2,3,2,1,2,0
20110906,0,8,3,4,3,5,3
20110907,0,4,3,0,10,0,3
20110908,4,4,8,12,8,4,16
20110909,3,6,6,6,3,12,0
20110912,4,2,4,6,8,2,2
20110913,0,3,6,3,2,2,2
20110914,0,16,0,6,10,6,6
20110915,16,0,12,16,12,8,16
20110916,0,8,18,8,12,22,0
20110919,8,18,8,12,22,0,0
20110920,10,6,6,10,0,0,0
20110921,6,3,6,3,0,10,0
20110922,2,2,2,3,6,3,0
20110923,1,1,4,4,4,1,1
20110926,0,3,4,3,2,2,2
20110927,0,5,0,3,2,4,0
20110928,0,6,3,4,3,5,5
20110929,6,3,6,3,4,8,0
20110930,0,3,2,2,2,3,0
20111003,0,4,2,4,6,2,2
20111004,6,6,12,6,6,6,6
20111005,0,18,0,9,9,0,0
20111006,21,0,12,18,12,0,21
20111007,0,0,9,9,0,18,0
20111010,4,12,14,4,15,11,8
20111011,12,10,4,12,10,4,6
20111012,0,3,0,6,0,3,0
20111013,6,6,6,6,4,8,8
20111014,12,4,12,4,8,8,8
20111017,0,7,0,2,2,3,0
20111018,0,6,4,4,0,7,7
20111019,6,6,6,0,6,12,0
20111020,4,4,6,4,6,4,4
20111021,0,12,6,0,6,6,6
20111024,12,12,0,6,6,6,6
20111025,0,0,0,0,0,0,0
20111026,4,9,9,9,0,13,18
20111027,12,12,12,0,12,12,12
20111028,8,8,0,6,6,6,6
20111031,0,0,6,6,3,8,7
20111101,0,8,8,6,8,14,0
20111102,1,1,4,4,4,1,1
20111103,0,3,6,3,2,2,2
20111104,0,7,0,2,2,3,0
20111107,0,6,4,4,0,7,7
20111108,12,14,14,0,14,14,12
20111109,7,7,0,4,4,6,0
20111110,0,6,4,4,0,7,7
20111111,12,12,12,0,12,12,12
20111114,8,8,0,6,6,6,6
20111115,0,0,6,6,0,12,0
20111116,0,6,6,0,12,0,0
20111117,4,4,3,5,0,8,0
20111118,3,4,3,6,8,3,3
20111121,2,2,6,4,2,4,0
20111122,0,12,3,6,6,7,0
20111123,6,3,4,3,6,0,0
20111125,6,6,6,6,0,8,8
20111128,10,14,9,0,10,10,9
20111129,7,7,0,4,4,6,0
20111130,0,4,6,6,0,8,8
20111201,4,12,12,0,10,12,10
20111202,5,5,0,4,4,6,0
20111205,0,6,3,4,3,5,5
20111206,6,3,6,3,4,8,0
20111207,0,4,4,3,3,3,3
20111208,0,12,6,0,6,6,6
20111209,12,12,0,6,6,6,6
20111212,0,0,0,0,0,0,0
20111213,3,3,3,3,0,12,0
20111214,2,2,2,3,6,3,0
20111215,1,1,4,4,4,1,1
20111216,0,6,8,3,4,4,3
20111219,0,15,0,9,12,0,6
20111220,21,0,12,21,0,12,0
20111221,0,0,9,0,9,0,0
20111222,6,8,6,8,0,10,10
20111223,7,12,7,0,8,8,8
20111227,8,8,0,6,6,6,6
20111228,0,0,4,4,0,8,0
20111229,6,6,6,6,12,6,6
20111230,3,3,8,6,3,4,3
20120103,0,10,0,6,3,6,3
20120104,0,0,6,3,6,0,7
20120105,0,12,8,18,0,18,8
20120106,6,4,11,0,11,4,6
20120109,3,7,0,7,3,6,0
20120110,0,6,3,4,3,5,5
20120111,6,3,6,3,4,8,0
20120112,0,3,2,2,2,3,0
20120113,0,2,1,2,3,2,0
20120117,5,5,9,6,6,5,6
20120118,0,12,3,9,9,0,3
20120119,8,3,6,9,0,4,0
20120120,4,3,5,3,3,8,0
20120123,8,3,8,6,8,3,8
20120124,0,5,2,2,2,3,0
20120125,0,9,3,8,0,8,0
20120126,6,3,6,0,7,0,0
20120127,6,6,6,6,0,8,8
20120130,7,12,7,0,8,8,8
20120131,8,8,0,6,6,6,6
20120201,0,0,4,4,0,8,0
20120202,3,4,4,3,8,6,0
20120203,2,2,8,6,4,2,4
20120206,0,8,3,3,5,3,4
20120207,0,8,0,14,0,6,0
20120208,12,0,24,0,12,0,0
20120209,0,16,0,16,0,0,0
20120210,9,0,9,0,0,0,0
20120213,6,6,6,6,0,12,12
20120214,8,8,8,0,7,12,7
20120215,5,5,0,4,4,6,0
20120216,0,6,3,4,3,5,5
20120217,8,4,8,4,5,8,5
20120221,0,10,0,6,3,6,3
20120222,0,0,4,0,4,0,0
20120223,6,8,6,8,0,10,10
20120224,7,12,7,0,8,8,8
20120227,8,8,0,6,6,6,6
20120228,0,0,6,6,0,12,0
20120229,0,8,8,0,24,0,8
20120301,3,3,0,10,0,4,0
20120302,4,3,5,3,3,8,0
20120305,2,2,2,4,4,2,0
20120306,0,1,2,3,2,1,1
20120307,0,3,6,3,2,2,2
20120308,0,12,0,3,3,3,3
20120309,0,0,0,6,6,0,12
20120312,0,0,18,18,0,18,18
20120313,0,18,20,0,15,15,8
20120314,18,20,0,15,15,8,0
20120315,9,0,3,3,3,0,0
20120316,6,6,6,6,0,12,12
20120319,12,12,12,0,12,12,12
20120320,8,8,0,6,6,6,6
20120321,0,0,4,4,0,8,0
20120322,6,6,6,6,12,6,6
20120323,3,3,8,6,3,4,3
20120326,0,10,0,6,3,6,3
20120327,0,0,6,0,12,0,6
20120328,0,8,8,20,8,8,20
20120329,3,6,6,6,3,12,0
20120330,2,2,2,4,4,2,0
20120402,0,2,4,4,2,2,2
20120403,0,8,3,3,5,3,4
20120404,0,3,0,6,0,3,0
20120405,6,6,6,6,4,8,8
20120409,8,4,8,4,5,8,5
20120410,0,5,0,3,2,4,0
20120411,0,6,3,4,3,5,5
20120412,8,4,8,4,5,8,5
20120413,0,5,0,3,2,4,0
20120416,0,3,2,2,2,5,0
